,country,variable,percentile,year,value,age,pop,p_start,p_end
16536,IN,sptincj999,p3p4,2024,0.0015,999,j,0.009399999999999999,0.01
16619,IN,sptincj999,p41p100,2024,0.8875000000000001,999,j,0.009399999999999999,0.0095
16702,IN,sptincj999,p41p42,2024,0.0039,999,j,0.0095,0.01
16785,IN,sptincj999,p42p100,2024,0.8836,999,j,0.0096,0.01
16868,IN,sptincj999,p42p43,2024,0.004,999,j,0.0096,0.0097
16951,IN,sptincj999,p43p100,2024,0.8796,999,j,0.0097,0.01
17034,IN,sptincj999,p43p44,2024,0.004,999,j,0.0097,0.0098
17117,IN,sptincj999,p44p100,2024,0.8756,999,j,0.0098,0.01
17200,IN,sptincj999,p44p45,2024,0.0041,999,j,0.0098,0.009899999999999999
17283,IN,sptincj999,p99.992p100,2024,0.0403,999,j,0.00991,0.01
17366,IN,sptincj999,p45p100,2024,0.8714000000000001,999,j,0.00991,0.00992
17449,IN,sptincj999,p45p46,2024,0.0042,999,j,0.00992,0.01
17532,IN,sptincj999,p46p100,2024,0.8672000000000001,999,j,0.00992,0.00993
17615,IN,sptincj999,p46p47,2024,0.0043,999,j,0.00993,0.01
17698,IN,sptincj999,p47p100,2024,0.863,999,j,0.00993,0.01
17781,IN,sptincj999,p47p48,2024,0.0043,999,j,0.00993,0.009940000000000001
17864,IN,sptincj999,p48p100,2024,0.8586,999,j,0.009940000000000001,0.01
17947,IN,sptincj999,p48p49,2024,0.0044,999,j,0.009940000000000001,0.00995
18030,IN,sptincj999,p49p100,2024,0.8543000000000001,999,j,0.00995,0.01
18113,IN,sptincj999,p49p50,2024,0.0045,999,j,0.00995,0.00996
18196,IN,sptincj999,p4p5,2024,0.0017,999,j,0.00995,0.00996
18279,IN,sptincj999,p50p100,2024,0.8498,999,j,0.00996,0.01
18362,IN,sptincj999,p50p51,2024,0.0045,999,j,0.00996,0.00997
18445,IN,sptincj999,p50p60,2024,0.0487,999,j,0.00997,0.01
18528,IN,sptincj999,p50p90,2024,0.2729,999,j,0.00997,0.00998
18611,IN,sptincj999,p51p100,2024,0.8453,999,j,0.00998,0.01
18694,IN,sptincj999,p51p52,2024,0.0046,999,j,0.00998,0.01
18777,IN,sptincj999,p52p100,2024,0.8407,999,j,0.00998,0.00999
18860,IN,sptincj999,p52p53,2024,0.0047,999,j,0.009991,0.01
18943,IN,sptincj999,p53p100,2024,0.8360000000000001,999,j,0.009991,0.009992
19026,IN,sptincj999,p53p54,2024,0.0048,999,j,0.009992,0.01
19109,IN,sptincj999,p54p100,2024,0.8313,999,j,0.009992,0.009993
19192,IN,sptincj999,p54p55,2024,0.0049,999,j,0.009992,0.009993
19275,IN,sptincj999,p55p100,2024,0.8264,999,j,0.009993,0.01
19358,IN,sptincj999,p55p56,2024,0.0049,999,j,0.009993,0.009994
19441,IN,sptincj999,p56p100,2024,0.8215,999,j,0.009994,0.01
19524,IN,sptincj999,p56p57,2024,0.005,999,j,0.009994,0.009995
19607,IN,sptincj999,p57p100,2024,0.8165,999,j,0.009995,0.01
19690,IN,sptincj999,p57p58,2024,0.0051,999,j,0.009995,0.009996
19773,IN,sptincj999,p58p100,2024,0.8114,999,j,0.009995,0.009996
19856,IN,sptincj999,p58p59,2024,0.0052,999,j,0.009996,0.01
19939,IN,sptincj999,p59p100,2024,0.8063,999,j,0.009996,0.009997
20022,IN,sptincj999,p59p60,2024,0.0052,999,j,0.009997,0.01
20105,IN,sptincj999,p5p100,2024,0.9936,999,j,0.009997,0.009998
20188,IN,sptincj999,p5p6,2024,0.0018,999,j,0.009998,0.01
20271,IN,sptincj999,p60p100,2024,0.801,999,j,0.009998,0.01
20354,IN,sptincj999,p60p61,2024,0.0053,999,j,0.009998,0.009999
20437,IN,sptincj999,p60p70,2024,0.0576,999,j,0.0099991,0.01
20520,IN,sptincj999,p61p100,2024,0.7958000000000001,999,j,0.0099991,0.0099992
20603,IN,sptincj999,p61p62,2024,0.0054,999,j,0.0099992,0.01
20686,IN,sptincj999,p99.992p99.993,2024,0.0018,999,j,0.0099992,0.0099993
20769,IN,sptincj999,p62p100,2024,0.7904,999,j,0.0099992,0.0099993
20852,IN,sptincj999,p62p63,2024,0.0055,999,j,0.0099993,0.01
20935,IN,sptincj999,p63p100,2024,0.7849,999,j,0.0099993,0.0099994
21018,IN,sptincj999,p63p64,2024,0.0056,999,j,0.0099994,0.01
21101,IN,sptincj999,p64p100,2024,0.7793,999,j,0.0099994,0.0099995
21184,IN,sptincj999,p64p65,2024,0.0057,999,j,0.0099995,0.01
21267,IN,sptincj999,p65p100,2024,0.7735000000000001,999,j,0.0099995,0.01
21350,IN,sptincj999,p65p66,2024,0.0058,999,j,0.0099995,0.009999599999999999
21433,IN,sptincj999,p66p100,2024,0.7677,999,j,0.009999599999999999,0.01
21516,IN,sptincj999,p66p67,2024,0.0059,999,j,0.009999599999999999,0.0099997
21599,IN,sptincj999,p67p100,2024,0.7618,999,j,0.0099997,0.01
21682,IN,sptincj999,p67p68,2024,0.006,999,j,0.0099997,0.009999800000000001
21765,IN,sptincj999,p99.993p100,2024,0.0385,999,j,0.0099997,0.009999800000000001
21848,IN,sptincj999,p68p100,2024,0.7558,999,j,0.009999800000000001,0.01
21931,IN,sptincj999,p68p69,2024,0.0061,999,j,0.009999800000000001,0.009999899999999999
22014,IN,sptincj999,p69p100,2024,0.7497,999,j,0.009999899999999999,0.01
22097,IN,sptincj999,p69p70,2024,0.0062,999,j,0.009999,0.01
22180,IN,sptincj999,p6p100,2024,0.9918,999,j,0.009999,0.0099991
22263,IN,sptincj999,p6p7,2024,0.0019,999,j,0.00999,0.01
22346,IN,sptincj999,p70p100,2024,0.7434000000000001,999,j,0.00999,0.01
22429,IN,sptincj999,p70p71,2024,0.0064,999,j,0.00999,0.009991
22512,IN,sptincj999,p70p80,2024,0.0708,999,j,0.009899999999999999,0.01
22595,IN,sptincj999,p71p100,2024,0.7371000000000001,999,j,0.009899999999999999,0.00991
22678,IN,sptincj999,p71p72,2024,0.0065,999,j,0.0009,0.001
22761,IN,sptincj999,p99.993p99.994,2024,0.0019,999,j,0.0009,0.01
22844,IN,sptincj999,p72p100,2024,0.7306,999,j,0.009000000000000001,0.009899999999999999
22927,IN,sptincj999,p72p73,2024,0.0066,999,j,0.0,0.01
23010,IN,sptincj999,p73p100,2024,0.7239,999,j,0.0,0.0001
23093,IN,sptincj999,p73p74,2024,0.0068,999,j,0.0,0.001
23176,IN,sptincj999,p74p100,2024,0.7171000000000001,999,j,0.0,0.005
23259,IN,sptincj999,p74p75,2024,0.007,999,j,0.001,0.01
23342,IN,sptincj999,p75p100,2024,0.7101000000000001,999,j,0.001,0.0011
23425,IN,sptincj999,p75p76,2024,0.0072,999,j,0.001,0.002
23508,IN,sptincj999,p76p100,2024,0.7030000000000001,999,j,0.0011,0.01
23591,IN,sptincj999,p76p77,2024,0.0073,999,j,0.0011,0.0012
23674,IN,sptincj999,p77p100,2024,0.6957,999,j,0.0012,0.01
23757,IN,sptincj999,p77p78,2024,0.0075,999,j,0.0013,0.01
23840,IN,sptincj999,p78p100,2024,0.6882,999,j,0.0013,0.0014000000000000002
23923,IN,sptincj999,p78p79,2024,0.0076,999,j,0.0014000000000000002,0.01
24006,IN,sptincj999,p99.994p100,2024,0.0366,999,j,0.0014000000000000002,0.0015
24089,IN,sptincj999,p99.994p99.995,2024,0.0021,999,j,0.0015,0.01
24172,IN,sptincj999,p79p100,2024,0.6805,999,j,0.0015,0.0016
24255,IN,sptincj999,p79p80,2024,0.0079,999,j,0.0016,0.0017000000000000001
24338,IN,sptincj999,p99.995p100,2024,0.0344,999,j,0.0017000000000000001,0.01
24421,IN,sptincj999,p7p100,2024,0.9899,999,j,0.0017000000000000001,0.0018
24504,IN,sptincj999,p7p8,2024,0.002,999,j,0.0018,0.01
24587,IN,sptincj999,p99.995p99.996,2024,0.0024,999,j,0.0018,0.0019
24670,IN,sptincj999,p99.996p100,2024,0.032,999,j,0.0019,0.01
24753,IN,sptincj999,p80p100,2024,0.6726000000000001,999,j,0.0019,0.002
24836,IN,sptincj999,p80p81,2024,0.0082,999,j,0.0001,0.0002
24919,IN,sptincj999,p80p90,2024,0.0958,999,j,0.002,0.01
25002,IN,sptincj999,p81p100,2024,0.6645,999,j,0.002,0.0021
25085,IN,sptincj999,p81p82,2024,0.0084,999,j,0.002,0.003
25168,IN,sptincj999,p82p100,2024,0.656,999,j,0.0021,0.01
25251,IN,sptincj999,p82p83,2024,0.0088,999,j,0.0021,0.0022
25334,IN,sptincj999,p83p100,2024,0.6472,999,j,0.0022,0.0023
25417,IN,sptincj999,p83p84,2024,0.0091,999,j,0.0023,0.01
25500,IN,sptincj999,p84p100,2024,0.6382,999,j,0.0023,0.0024
25583,IN,sptincj999,p84p85,2024,0.0094,999,j,0.0024,0.01
25666,IN,sptincj999,p99.996p99.997,2024,0.0028,999,j,0.0024,0.0025
25749,IN,sptincj999,p99.997p100,2024,0.0292,999,j,0.0025,0.01
25832,IN,sptincj999,p85p100,2024,0.6287,999,j,0.0025,0.0026
25915,IN,sptincj999,p85p86,2024,0.0097,999,j,0.0026,0.01
25998,IN,sptincj999,p86p100,2024,0.619,999,j,0.0026,0.0027
26081,IN,sptincj999,p86p87,2024,0.01,999,j,0.0027,0.0028000000000000004
26164,IN,sptincj999,p87p100,2024,0.609,999,j,0.0028000000000000004,0.01
26247,IN,sptincj999,p87p88,2024,0.0103,999,j,0.0028000000000000004,0.0029
26330,IN,sptincj999,p88p100,2024,0.5987,999,j,0.0029,0.01
26413,IN,sptincj999,p88p89,2024,0.0106,999,j,0.0029,0.003
26496,IN,sptincj999,p89p100,2024,0.5881000000000001,999,j,0.0002,0.01
26579,IN,sptincj999,p89p90,2024,0.0112,999,j,0.003,0.01
26662,IN,sptincj999,p8p100,2024,0.9878,999,j,0.003,0.0031
26745,IN,sptincj999,p8p9,2024,0.0021,999,j,0.003,0.004
26828,IN,sptincj999,p90p100,2024,0.5768,999,j,0.0031,0.01
26911,IN,sptincj999,p90p91,2024,0.0134,999,j,0.0031,0.0032
26994,IN,sptincj999,p91p100,2024,0.5634,999,j,0.0032,0.01
27077,IN,sptincj999,p91p92,2024,0.017,999,j,0.0032,0.0033
27160,IN,sptincj999,p92p100,2024,0.5464,999,j,0.0033,0.0034000000000000002
27243,IN,sptincj999,p92p93,2024,0.0222,999,j,0.0034000000000000002,0.01
27326,IN,sptincj999,p93p100,2024,0.5242,999,j,0.0034000000000000002,0.0034999999999999996
27409,IN,sptincj999,p93p94,2024,0.0297,999,j,0.0034999999999999996,0.01
27492,IN,sptincj999,p94p100,2024,0.4945000000000001,999,j,0.0034999999999999996,0.0036
27575,IN,sptincj999,p94p95,2024,0.0416,999,j,0.0036,0.01
27658,IN,sptincj999,p95p100,2024,0.453,999,j,0.0037,0.01
27741,IN,sptincj999,p95p96,2024,0.0487,999,j,0.0037,0.0038
27824,IN,sptincj999,p96p100,2024,0.4042,999,j,0.0038,0.01
27907,IN,sptincj999,p96p97,2024,0.0518,999,j,0.0038,0.0039000000000000003
27990,IN,sptincj999,p97p100,2024,0.3525,999,j,0.0039000000000000003,0.01
28073,IN,sptincj999,p97p98,2024,0.0569,999,j,0.0039000000000000003,0.004
28156,IN,sptincj999,p98p100,2024,0.2955,999,j,0.0003,0.01
28239,IN,sptincj999,p98p99,2024,0.0696,999,j,0.004,0.01
28322,IN,sptincj999,p99.1p100,2024,0.2169,999,j,0.004,0.0040999999999999995
28405,IN,sptincj999,p99.1p99.2,2024,0.0096,999,j,0.004,0.005
28488,IN,sptincj999,p99.2p100,2024,0.2073,999,j,0.0040999999999999995,0.01
28571,IN,sptincj999,p99.2p99.3,2024,0.0103,999,j,0.0040999999999999995,0.0042
28654,IN,sptincj999,p99.3p100,2024,0.197,999,j,0.0042,0.01
28737,IN,sptincj999,p99.3p99.4,2024,0.0112,999,j,0.0043,0.01
28820,IN,sptincj999,p99.4p100,2024,0.1858,999,j,0.0043,0.0044
28903,IN,sptincj999,p99.4p99.5,2024,0.0123,999,j,0.0044,0.01
28986,IN,sptincj999,p99.5p100,2024,0.1735,999,j,0.0044,0.0045000000000000005
29069,IN,sptincj999,p99.5p99.6,2024,0.0139,999,j,0.0045000000000000005,0.01
29152,IN,sptincj999,p99.6p100,2024,0.1595,999,j,0.0045000000000000005,0.0046
29235,IN,sptincj999,p99.6p99.7,2024,0.0161,999,j,0.0046,0.01
29318,IN,sptincj999,p99.7p100,2024,0.1434,999,j,0.004699999999999999,0.01
29401,IN,sptincj999,p99.7p99.8,2024,0.0199,999,j,0.004699999999999999,0.0048
29484,IN,sptincj999,p99.8p100,2024,0.1235,999,j,0.0048,0.01
29567,IN,sptincj999,p99.8p99.9,2024,0.0278,999,j,0.0048,0.0049
29650,IN,sptincj999,p99.91p100,2024,0.0921,999,j,0.0049,0.01
29733,IN,sptincj999,p99.91p99.92,2024,0.0038,999,j,0.0049,0.005
29816,IN,sptincj999,p99.92p100,2024,0.0883,999,j,0.0004,0.01
29899,IN,sptincj999,p99.92p99.93,2024,0.0041,999,j,0.005,0.01
29982,IN,sptincj999,p99.93p100,2024,0.0842,999,j,0.005,0.0051
30065,IN,sptincj999,p99.93p99.94,2024,0.0045,999,j,0.005,0.006
30148,IN,sptincj999,p99.94p100,2024,0.0798,999,j,0.005,0.009000000000000001
30231,IN,sptincj999,p99.94p99.95,2024,0.0049,999,j,0.0051,0.01
30314,IN,sptincj999,p99.95p100,2024,0.0749,999,j,0.0051,0.0052
30397,IN,sptincj999,p99.95p99.96,2024,0.0056,999,j,0.0052,0.0053
30480,IN,sptincj999,p99.96p100,2024,0.0693,999,j,0.0053,0.01
30563,IN,sptincj999,p99.96p99.97,2024,0.0065,999,j,0.0053,0.0054
30646,IN,sptincj999,p99.97p100,2024,0.0628,999,j,0.0054,0.01
30729,IN,sptincj999,p99.97p99.98,2024,0.008,999,j,0.0054,0.0055000000000000005
30812,IN,sptincj999,p99.98p100,2024,0.0548,999,j,0.0055000000000000005,0.01
30895,IN,sptincj999,p99.98p99.99,2024,0.0114,999,j,0.0055000000000000005,0.005600000000000001
30978,IN,sptincj999,p99.991p100,2024,0.0419,999,j,0.005600000000000001,0.005699999999999999
31061,IN,sptincj999,p99.991p99.992,2024,0.0016,999,j,0.005699999999999999,0.01
31144,IN,sptincj999,p99.997p99.998,2024,0.0035,999,j,0.005699999999999999,0.0058
31227,IN,sptincj999,p99.998p100,2024,0.0257,999,j,0.0058,0.01
31310,IN,sptincj999,p99.998p99.999,2024,0.005,999,j,0.0058,0.0059
31393,IN,sptincj999,p99.999p100,2024,0.0207,999,j,0.0059,0.01
31476,IN,sptincj999,p99.99p100,2024,0.0434,999,j,0.0005,0.01
31559,IN,sptincj999,p99.99p99.991,2024,0.0015,999,j,0.0005,0.0006
31642,IN,sptincj999,p99.9p100,2024,0.0958,999,j,0.006,0.01
31725,IN,sptincj999,p99.9p99.91,2024,0.0036,999,j,0.006,0.0060999999999999995
31808,IN,sptincj999,p99p100,2024,0.226,999,j,0.006,0.006999999999999999
31891,IN,sptincj999,p99p99.1,2024,0.0091,999,j,0.0060999999999999995,0.01
31974,IN,sptincj999,p9p10,2024,0.0022,999,j,0.0060999999999999995,0.0062
32057,IN,sptincj999,p9p100,2024,0.9857,999,j,0.0062,0.0063
32140,IN,sptincj999,p1p100,2024,0.9992,999,j,0.0063,0.01
